<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kowsar.Agri..Inv.,20200413,27601.00,29085.00,26315.00,27142.00,500394202081,18436105,41703,D,27700.00,26315.00
Kowsar.Agri..Inv.,20200412,27702.00,27702.00,27001.00,27700.00,1915324968236,69144317,57020,D,26383.00,27702.00
Kowsar.Agri..Inv.,20200411,26383.00,26383.00,26383.00,26383.00,70469758107,2671029,13206,D,25127.00,26383.00
Kowsar.Agri..Inv.,20200408,25127.00,25127.00,25127.00,25127.00,112476367005,4476315,21747,D,23931.00,25127.00
Kowsar.Agri..Inv.,20200407,23931.00,23931.00,23931.00,23931.00,87396705999,3652029,21071,D,22792.00,23931.00
Kowsar.Agri..Inv.,20200406,22792.00,22792.00,22792.00,22792.00,66367614544,2911882,16072,D,21707.00,22792.00
Kowsar.Agri..Inv.,20200405,20772.00,21810.00,20772.00,21707.00,61582063886,2836948,13506,D,19783.00,21810.00
Kowsar.Agri..Inv.,20200329,19836.00,19836.00,19836.00,19783.00,52005885948,2621793,3973,D,18892.00,19836.00
Kowsar.Agri..Inv.,20200328,18892.00,18892.00,18892.00,18892.00,188789021764,9993067,5692,D,17993.00,18892.00
Kowsar.Agri..Inv.,20200325,17993.00,17993.00,17993.00,17993.00,55299686200,3073400,5319,D,17137.00,17993.00
Kowsar.Agri..Inv.,20200324,17145.00,17145.00,17145.00,17137.00,51962243040,3030752,4546,D,16329.00,17145.00
Kowsar.Agri..Inv.,20200318,16329.00,16329.00,16329.00,16329.00,63038594370,3860530,4712,D,15552.00,16329.00
Kowsar.Agri..Inv.,20200317,15557.00,15557.00,15557.00,15552.00,58872417328,3784304,4312,D,14817.00,15557.00
Kowsar.Agri..Inv.,20200316,14817.00,14817.00,14817.00,14817.00,57013163757,3847821,5247,D,14112.00,14817.00
Kowsar.Agri..Inv.,20200315,14112.00,14112.00,14112.00,14112.00,54105873696,3834033,4988,D,13440.00,14112.00
Kowsar.Agri..Inv.,20200314,13776.00,13776.00,13776.00,13440.00,25646379696,1861671,4670,D,13120.00,13776.00
Kowsar.Agri..Inv.,20200311,13120.00,13120.00,13120.00,13120.00,4329586853760,329998998,1675978,D,1000.00,13120.00
